1.88254,0.07678
1.90478,0.07671
1.86466,0.07653
1.87877,0.07795
1.88455,0.07663
1.89331,0.07891
1.92113,0.07759
1.91112,0.07641
1.91773,0.07800
1.92150,0.07648
1.91524,0.07623
1.93123,0.07631
1.94555,0.07677
1.94605,0.07641
1.95856,0.07910
1.96595,0.07669
1.97874,0.07648
1.96028,0.07695
1.96927,0.08068
1.97653,0.07782
1.98637,0.07616
1.99930,0.07776
2.01784,0.07683
1.98949,0.07658
1.97964,0.07652
1.98674,0.07606
1.98813,0.07632
1.98997,0.07658
1.99283,0.07645
1.98966,0.07661
1.98631,0.07625
1.99426,0.07599
